Film,US_release_date,Box_office_gross_Domestic_US_and_Canada,Box_office_gross_Other_territories,Box_office_gross_Worldwide,Budget,MCU,Phase,Distributor,MPAA_Rating,Length,Minutes,Franchise,Character_Family,Domestic_%,Gross_to_Budget,Rotten_Tomatoes_Critic_Score,Male_Female_led,Year,Inflation_Adjusted_Worldwide_Gross,Inflation_Adjusted_Budget,2.5x_prod,Break_Even
Shazam!,2019-04-05,140480049,227318962,367799011,100000000,FALSE,NA,Warner Bros.,PG-13,02:12:00,132,DC,Shazam,38%,3.68,90,Male,2019,438356630,119183744,250000000,Success
Avengers: Endgame,2019-04-26,858373000,1941066100,2799439100,356000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,03:01:00,181,Marvel,Avengers,31%,7.86,94,Male,2019,2799439100,356000000,890000000,Success
Dark Phoenix,2019-06-07,65845974,186597000,252442974,200000000,FALSE,NA,Twentieth Century Fox,PG-13,01:53:00,113,Marvel,X-Men,26%,1.26,22,Female,2019,252442974,200000000,500000000,Flop
Spider-Man: Far From Home,2019-07-02,390532085,741395911,1131927996,160000000,TRUE,3,Sony Pictures Entertainment ,PG-13,02:09:00,129,Marvel,Spider-Man,35%,7.07,90,Male,2019,1131927996,160000000,400000000,Success
Joker,2019-10-04,335477657,743480625,1078958282,55000000,FALSE,NA,Warner Bros.,R,02:02:00,122,DC,Batman,31%,19.62,69,Male,2019,1285942872,65551059,137500000,Success
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-07,84172791,121200000,205372791,84500000,FALSE,NA,Warner Bros.,R,01:49:00,109,DC,Birds of Prey,41%,2.43,78,Female,2020,241788079,99482958,211250000,Flop
The New Mutants,2020-08-28,23852659,25316935,49169594,67000000,FALSE,NA,20th Century Studios,PG-13,01:34:00,94,Marvel,X-Men,49%,0.73,36,Co-starring,2020,49169594,67000000,167500000,Flop
Wonder Woman 1984,2020-12-25,46801036,122800000,169601036,200000000,FALSE,NA,Warner Bros.,PG-13,02:31:00,151,DC,Wonder Woman,28%,0.85,58,Female,2020,199673523,235462622,500000000,Flop
Black Widow,2021-07-09,183651655,196100000,379751655,247500000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:14:00,134,Marvel,Black Widow,48%,1.53,79,Female,2021,379751655,247500000,618750000,Flop
The Suicide Squad,2021-08-06,55817425,112900000,168717425,185000000,FALSE,NA,Warner Bros.,R,02:12:00,132,DC,Suicide Squad,33%,0.91,90,Male,2021,189720141,208029645,462500000,Flop
Shang-Chi and the Legend of the Ten Rings,2021-09-03,224543292,207700000,432243292,200000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:12:00,132,Marvel,Shang-Chi,52%,2.16,92,Male,2021,432243292,200000000,500000000,Flop
Venom: Let There Be Carnage,2021-10-01,213550366,293313226,506863592,110000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,01:37:00,97,Marvel,Spider-Man Allies and Villains,42%,4.61,57,Male,2021,506863592,110000000,275000000,Success
Eternals,2021-11-05,164870234,237194665,402064899,236200000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:36:00,156,Marvel,Eternals,41%,1.7,47,Female,2021,402064899,236200000,590500000,Flop
Spider-Man: No Way Home,2021-12-17,814115070,1107732041,1921847111,200000000,TRUE,4,Sony Pictures Entertainment ,PG-13,02:28:00,148,Marvel,Spider-Man,42%,9.61,93,Male,2021,1921847111,200000000,500000000,Success
The Batman,2022-03-04,369345583,402900000,772245583,200000000,FALSE,NA,Warner Bros.,PG-13,02:56:00,176,DC,Batman,48%,3.86,85,Male,2022,804033595,208232617,500000000,Success
Morbius,2022-04-01,73865530,93595431,167460961,75000000,FALSE,NA,Columbia Pictures,PG-13,01:44:00,104,Marvel,Spider-Man Allies and Villains,44%,2.23,15,Male,2022,167460961,75000000,187500000,Flop
Doctor Strange in the Multiverse of Madness,2022-05-06,411331607,544444197,955775804,294500000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:06:00,126,Marvel,Doctor Strange,43%,3.25,73,Male,2022,955775804,294500000,736250000,Success
Thor: Love and Thunder,2022-07-08,343256830,417671251,760928081,250000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,01:58:00,118,Marvel,Thor,45%,3.04,63,Male,2022,760928081,250000000,625000000,Success
DC League of Super-Pets,2022-07-29,93657117,113900000,207557117,90000000,FALSE,NA,Warner Bros.,PG,01:46:00,106,DC,Justice League,45%,2.31,72,Male,2022,216100809,93704678,225000000,Flop
Black Adam,2022-10-21,168152111,225100000,393252111,200000000,FALSE,NA,Warner Bros.,PG-13,02:05:00,125,DC,Shazam,43%,1.97,38,Male,2022,409439582,208232617,500000000,Flop
Black Panther: Wakanda Forever,2022-11-11,453829060,405379776,859208836,250000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,02:41:00,161,Marvel,Black Panther,53%,3.44,83,Female,2022,859208836,250000000,625000000,Success
Ant-Man and the Wasp: Quantumania,2023-02-17,214504909,261566271,476071180,200000000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,02:04:00,124,Marvel,Ant-Man,45%,2.38,46,Co-starring,2023,476071180,200000000,500000000,Flop
Shazam! Fury of the Gods,2023-03-17,57638006,76200000,133838006,125000000,FALSE,NA,Warner Bros.,PG-13,02:10:00,130,DC,Shazam,43%,1.07,49,Male,2023,133838006,125000000,312500000,Flop
Guardians of the Galaxy Vol. 3,2023-05-05,358995815,486559962,845555777,250000000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,02:30:00,150,Marvel,Guardians of the Galaxy,42%,3.38,82,Male,2023,845555777,250000000,625000000,Success
Spider-Man: Across the Spider-Verse,2023-06-02,381311319,309205354,690516673,100000000,FALSE,NA,Columbia Pictures,PG,02:20:00,140,Marvel,Spider-Man,55%,6.91,96,Male,2023,690516673,100000000,250000000,Success
The Flash,2023-06-16,108133313,162500000,270633313,200000000,FALSE,NA,Warner Bros.,PG-13,02:24:00,144,DC,Flash,40%,1.35,63,Male,2023,270633313,200000000,500000000,Flop
Blue Beetle,2023-08-18,72488072,56800000,129288072,120000000,FALSE,NA,Warner Bros.,PG-13,02:07:00,127,DC,Blue Beetle,56%,1.08,78,Male,2023,129288072,120000000,300000000,Flop
The Marvels,2023-11-10,84500223,121373601,205873824,219800000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,01:45:00,105,Marvel,Captain Marvel,41%,0.94,62,Female,2023,205873824,219800000,549500000,Flop
Aquaman and the Lost Kingdom,2023-12-20,124436589,309900000,434336589,205000000,FALSE,NA,Warner Bros.,PG-13,02:04:00,124,DC,Aquaman,29%,2.12,35,Male,2023,434336589,205000000,512500000,Flop
Madame Web,2024-02-14,42619699,54000000,96619699,80000000,FALSE,NA,Columbia Pictures,PG-13,01:56:00,116,Marvel,Spider-Man Allies and Villains,44%,1.21,13,Female,2024,96619699,80000000,200000000,Flop
